Feature Removed,Included Columns,P-Values,RÂ²,RMSE
Region,"['month_sin', 'month_cos', 'Temp', 'sea_level', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_6m', 'rolling_12m', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.5514645328372085, 'month_sin': 0.3528046427596784, 'month_cos': 0.9727386987111103, 'Temp': 0.6809565591313576, 'sea_level': 0.06478704719904402, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 6.576738977833656e-14, 'rolling_3m': 0.002140474950143512, 'rolling_6m': 1.4331125877779588e-06, 'rolling_12m': 0.13977990199511534, 'Age_category_IMMATURE': 0.1828328306144593, 'Age_category_UNKNOWN/OTHER': 0.6432350860633941}",0.9030341564646488,0.04335482511288167
month_sin,"['month_cos', 'Temp', 'sea_level', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_6m', 'rolling_12m', 'Region_EAST OF ENGLAND', 'Region_LONDON', 'Region_NORTH EAST', 'Region_NORTH WEST', 'Region_SCOTLAND', 'Region_SOUTH EAST', 'Region_SOUTH WEST', 'Region_WALES', 'Region_WEST MIDLANDS', 'Region_YORKSHIRE AND THE HUMBER', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.2803009374558168, 'month_cos': 0.1776862142583063, 'Temp': 0.3958321629249739, 'sea_level': 0.49986229780645486, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 6.465742582628732e-14, 'rolling_3m': 0.0021771536138481123, 'rolling_6m': 1.4948743046900289e-06, 'rolling_12m': 0.07287806203184165, 'Region_EAST OF ENGLAND': 0.45092421177321407, 'Region_LONDON': 0.6414879248027052, 'Region_NORTH EAST': 0.5559751089703995, 'Region_NORTH WEST': 0.6329803795178738, 'Region_SCOTLAND': 0.42924682823724936, 'Region_SOUTH EAST': 0.04944604332861383, 'Region_SOUTH WEST': 0.014412515728646689, 'Region_WALES': 0.5116660171127375, 'Region_WEST MIDLANDS': 0.4985636829196628, 'Region_YORKSHIRE AND THE HUMBER': 0.42981484122117697, 'Age_category_IMMATURE': 0.279634657719542, 'Age_category_UNKNOWN/OTHER': 0.8390622380757282}",0.9032360045029361,0.04360090379916828
month_cos,"['month_sin', 'Temp', 'sea_level', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_6m', 'rolling_12m', 'Region_EAST OF ENGLAND', 'Region_LONDON', 'Region_NORTH EAST', 'Region_NORTH WEST', 'Region_SCOTLAND', 'Region_SOUTH EAST', 'Region_SOUTH WEST', 'Region_WALES', 'Region_WEST MIDLANDS', 'Region_YORKSHIRE AND THE HUMBER', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.9711036718142795, 'month_sin': 0.07517709731215041, 'Temp': 0.2051692522586893, 'sea_level': 0.6587203058951306, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 6.280708065929122e-14, 'rolling_3m': 0.0020689358474921217, 'rolling_6m': 1.3967559855710465e-06, 'rolling_12m': 0.06715458371967932, 'Region_EAST OF ENGLAND': 0.3749973689187315, 'Region_LONDON': 0.5491948561503781, 'Region_NORTH EAST': 0.7445234722470495, 'Region_NORTH WEST': 0.7238909336835317, 'Region_SCOTLAND': 0.9608512589676125, 'Region_SOUTH EAST': 0.03672769458302912, 'Region_SOUTH WEST': 0.012672828918432234, 'Region_WALES': 0.5742001272997621, 'Region_WEST MIDLANDS': 0.5303845589619669, 'Region_YORKSHIRE AND THE HUMBER': 0.5342698540288693, 'Age_category_IMMATURE': 0.2889339754327617, 'Age_category_UNKNOWN/OTHER': 0.8566311847532206}",0.9032672616682894,0.04361455050983275
Temp,"['month_sin', 'month_cos', 'sea_level', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_6m', 'rolling_12m', 'Region_EAST OF ENGLAND', 'Region_LONDON', 'Region_NORTH EAST', 'Region_NORTH WEST', 'Region_SCOTLAND', 'Region_SOUTH EAST', 'Region_SOUTH WEST', 'Region_WALES', 'Region_WEST MIDLANDS', 'Region_YORKSHIRE AND THE HUMBER', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.4588093562381529, 'month_sin': 0.20307646944662364, 'month_cos': 0.28250113188186476, 'sea_level': 0.5637122865213935, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 6.755573399472049e-14, 'rolling_3m': 0.0021112066230553846, 'rolling_6m': 1.3879842719750257e-06, 'rolling_12m': 0.06943221461300736, 'Region_EAST OF ENGLAND': 0.41634411571489993, 'Region_LONDON': 0.5999798497663142, 'Region_NORTH EAST': 0.6317637828082007, 'Region_NORTH WEST': 0.6713409112568662, 'Region_SCOTLAND': 0.6127331831788347, 'Region_SOUTH EAST': 0.04326436734534365, 'Region_SOUTH WEST': 0.013627007893402784, 'Region_WALES': 0.538182588620258, 'Region_WEST MIDLANDS': 0.5119908023925301, 'Region_YORKSHIRE AND THE HUMBER': 0.4718205107573673, 'Age_category_IMMATURE': 0.2829986755980221, 'Age_category_UNKNOWN/OTHER': 0.845654512840952}",0.9032568345865972,0.043614084712669914
sea_level,"['month_sin', 'month_cos', 'Temp', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_6m', 'rolling_12m', 'Region_EAST OF ENGLAND', 'Region_LONDON', 'Region_NORTH EAST', 'Region_NORTH WEST', 'Region_SCOTLAND', 'Region_SOUTH EAST', 'Region_SOUTH WEST', 'Region_WALES', 'Region_WEST MIDLANDS', 'Region_YORKSHIRE AND THE HUMBER', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.9059171952249437, 'month_sin': 0.23256677275890206, 'month_cos': 0.7826729884296537, 'Temp': 0.46822984141765234, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 6.124562132721275e-14, 'rolling_3m': 0.0020795016804133464, 'rolling_6m': 1.41471057373104e-06, 'rolling_12m': 0.06585413322029136, 'Region_EAST OF ENGLAND': 0.28502237666573266, 'Region_LONDON': 0.45479306429680944, 'Region_NORTH EAST': 0.9924984561506662, 'Region_NORTH WEST': 0.7973737755898345, 'Region_SCOTLAND': 0.7465198915655702, 'Region_SOUTH EAST': 0.03145871224675837, 'Region_SOUTH WEST': 0.010413278827882675, 'Region_WALES': 0.6505839909645856, 'Region_WEST MIDLANDS': 0.6332519091516136, 'Region_YORKSHIRE AND THE HUMBER': 0.6801270437521402, 'Age_category_IMMATURE': 0.29264645018506513, 'Age_category_UNKNOWN/OTHER': 0.8630638511818793}",0.9032690243228323,0.043607054957350615
Age_category,"['month_sin', 'month_cos', 'Temp', 'sea_level', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_6m', 'rolling_12m', 'Region_EAST OF ENGLAND', 'Region_LONDON', 'Region_NORTH EAST', 'Region_NORTH WEST', 'Region_SCOTLAND', 'Region_SOUTH EAST', 'Region_SOUTH WEST', 'Region_WALES', 'Region_WEST MIDLANDS', 'Region_YORKSHIRE AND THE HUMBER']","{'const': 0.7433236728155304, 'month_sin': 0.2255687570048587, 'month_cos': 0.7669676929610726, 'Temp': 0.45510003551487477, 'sea_level': 0.7914163749245918, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 7.977835596376157e-14, 'rolling_3m': 0.0020174047286734076, 'rolling_6m': 1.3055599868077977e-06, 'rolling_12m': 0.04010987443755404, 'Region_EAST OF ENGLAND': 0.33127128720953325, 'Region_LONDON': 0.5281392607343692, 'Region_NORTH EAST': 0.8710647283559249, 'Region_NORTH WEST': 0.7644543701930139, 'Region_SCOTLAND': 0.8128067693171386, 'Region_SOUTH EAST': 0.030771086200526748, 'Region_SOUTH WEST': 0.010727544994644513, 'Region_WALES': 0.596602957289809, 'Region_WEST MIDLANDS': 0.5526143730335398, 'Region_YORKSHIRE AND THE HUMBER': 0.5958878855636094}",0.9032368963444425,0.0435833170406699
age_cat_Monthly_Percent,"['month_sin', 'month_cos', 'Temp', 'sea_level', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_6m', 'rolling_12m', 'Region_EAST OF ENGLAND', 'Region_LONDON', 'Region_NORTH EAST', 'Region_NORTH WEST', 'Region_SCOTLAND', 'Region_SOUTH EAST', 'Region_SOUTH WEST', 'Region_WALES', 'Region_WEST MIDLANDS', 'Region_YORKSHIRE AND THE HUMBER', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.05755136280079945, 'month_sin': 0.29253632229618703, 'month_cos': 0.23200245014786514, 'Temp': 0.14902367164030272, 'sea_level': 0.09579025142346638, 'age_cat_Yearly_Percent': 0.0, 'rolling_3m': 0.13945340971921308, 'rolling_6m': 2.5816826782488217e-06, 'rolling_12m': 0.05015902718516037, 'Region_EAST OF ENGLAND': 0.10610243342956793, 'Region_LONDON': 0.5742873727828861, 'Region_NORTH EAST': 0.5168594704491807, 'Region_NORTH WEST': 0.7501315852184172, 'Region_SCOTLAND': 0.38191295609332665, 'Region_SOUTH EAST': 0.005871411246191641, 'Region_SOUTH WEST': 0.08853576985600971, 'Region_WALES': 0.5863249553211412, 'Region_WEST MIDLANDS': 0.5885786763744975, 'Region_YORKSHIRE AND THE HUMBER': 0.17341623255612476, 'Age_category_IMMATURE': 0.623241919082264, 'Age_category_UNKNOWN/OTHER': 0.17087389732205163}",0.6790448673260592,0.08890944154490682
age_cat_Yearly_Percent,"['month_sin', 'month_cos', 'Temp', 'sea_level', 'age_cat_Monthly_Percent', 'rolling_3m', 'rolling_6m', 'rolling_12m', 'Region_EAST OF ENGLAND', 'Region_LONDON', 'Region_NORTH EAST', 'Region_NORTH WEST', 'Region_SCOTLAND', 'Region_SOUTH EAST', 'Region_SOUTH WEST', 'Region_WALES', 'Region_WEST MIDLANDS', 'Region_YORKSHIRE AND THE HUMBER', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.933591965303977, 'month_sin': 0.25323732918027364, 'month_cos': 0.9088314938003884, 'Temp': 0.5716192418680104, 'sea_level': 0.9722665701276391, 'age_cat_Monthly_Percent': 0.0, 'rolling_3m': 0.001748826339578047, 'rolling_6m': 3.355263179172964e-06, 'rolling_12m': 0.023543888318178868, 'Region_EAST OF ENGLAND': 0.35758305035053706, 'Region_LONDON': 0.5019469872041431, 'Region_NORTH EAST': 0.8045947813128081, 'Region_NORTH WEST': 0.6963380877197111, 'Region_SCOTLAND': 0.9117042558148802, 'Region_SOUTH EAST': 0.046433982144623444, 'Region_SOUTH WEST': 0.00996396891355642, 'Region_WALES': 0.5768103059324052, 'Region_WEST MIDLANDS': 0.48515276488236936, 'Region_YORKSHIRE AND THE HUMBER': 0.4563746951926744, 'Age_category_IMMATURE': 0.52413127478592, 'Age_category_UNKNOWN/OTHER': 0.8614800748145973}",0.9019552026477886,0.04216857087336654
rolling_3m,"['month_sin', 'month_cos', 'Temp', 'sea_level', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_6m', 'rolling_12m', 'Region_EAST OF ENGLAND', 'Region_LONDON', 'Region_NORTH EAST', 'Region_NORTH WEST', 'Region_SCOTLAND', 'Region_SOUTH EAST', 'Region_SOUTH WEST', 'Region_WALES', 'Region_WEST MIDLANDS', 'Region_YORKSHIRE AND THE HUMBER', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.8702592729494241, 'month_sin': 0.24720951493612553, 'month_cos': 0.773033466520872, 'Temp': 0.4811524177164702, 'sea_level': 0.7135185147754214, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 5.180131260314518e-14, 'rolling_6m': 0.00020046268160526975, 'rolling_12m': 0.09361828404943837, 'Region_EAST OF ENGLAND': 0.37361089850123774, 'Region_LONDON': 0.5268573509225748, 'Region_NORTH EAST': 0.8112600202481592, 'Region_NORTH WEST': 0.7598490477539391, 'Region_SCOTLAND': 0.9026466100229007, 'Region_SOUTH EAST': 0.036005221071983735, 'Region_SOUTH WEST': 0.012857265938635266, 'Region_WALES': 0.6065272090449422, 'Region_WEST MIDLANDS': 0.5336008600102387, 'Region_YORKSHIRE AND THE HUMBER': 0.5698055791985875, 'Age_category_IMMATURE': 0.2780470969795562, 'Age_category_UNKNOWN/OTHER': 0.8375508973515785}",0.9030492044651013,0.043806170233518245
rolling_6m,"['month_sin', 'month_cos', 'Temp', 'sea_level', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_12m', 'Region_EAST OF ENGLAND', 'Region_LONDON', 'Region_NORTH EAST', 'Region_NORTH WEST', 'Region_SCOTLAND', 'Region_SOUTH EAST', 'Region_SOUTH WEST', 'Region_WALES', 'Region_WEST MIDLANDS', 'Region_YORKSHIRE AND THE HUMBER', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.8663280557915367, 'month_sin': 0.25169529852902406, 'month_cos': 0.7577921848616553, 'Temp': 0.4553146896847351, 'sea_level': 0.740433285565377, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 1.4183495761192395e-13, 'rolling_3m': 0.8397725737663096, 'rolling_12m': 0.03784778076437352, 'Region_EAST OF ENGLAND': 0.354339185808238, 'Region_LONDON': 0.5006933727776686, 'Region_NORTH EAST': 0.7914394315568121, 'Region_NORTH WEST': 0.7374726238291478, 'Region_SCOTLAND': 0.902367421076414, 'Region_SOUTH EAST': 0.03601015206945709, 'Region_SOUTH WEST': 0.011646614869675003, 'Region_WALES': 0.581069493117555, 'Region_WEST MIDLANDS': 0.553910432431513, 'Region_YORKSHIRE AND THE HUMBER': 0.5636472606426178, 'Age_category_IMMATURE': 0.25745857726572546, 'Age_category_UNKNOWN/OTHER': 0.8077211003968088}",0.9027286588800048,0.0435574803402117
rolling_12m,"['month_sin', 'month_cos', 'Temp', 'sea_level', 'age_cat_Monthly_Percent', 'age_cat_Yearly_Percent', 'rolling_3m', 'rolling_6m', 'Region_EAST OF ENGLAND', 'Region_LONDON', 'Region_NORTH EAST', 'Region_NORTH WEST', 'Region_SCOTLAND', 'Region_SOUTH EAST', 'Region_SOUTH WEST', 'Region_WALES', 'Region_WEST MIDLANDS', 'Region_YORKSHIRE AND THE HUMBER', 'Age_category_IMMATURE', 'Age_category_UNKNOWN/OTHER']","{'const': 0.9811051961683144, 'month_sin': 0.2620007145365214, 'month_cos': 0.835572040138382, 'Temp': 0.5078908509135213, 'sea_level': 0.6752045752285815, 'age_cat_Monthly_Percent': 0.0, 'age_cat_Yearly_Percent': 2.50644775053624e-14, 'rolling_3m': 0.0028407274537755457, 'rolling_6m': 8.711550073192797e-07, 'Region_EAST OF ENGLAND': 0.42039416860825707, 'Region_LONDON': 0.4893662779506074, 'Region_NORTH EAST': 0.7365161031713592, 'Region_NORTH WEST': 0.7373056744096849, 'Region_SCOTLAND': 0.9792447924679872, 'Region_SOUTH EAST': 0.05078989038688734, 'Region_SOUTH WEST': 0.01709063861500667, 'Region_WALES': 0.6077340536459432, 'Region_WEST MIDLANDS': 0.5488024498104094, 'Region_YORKSHIRE AND THE HUMBER': 0.5527326742068903, 'Age_category_IMMATURE': 0.1438224340262012, 'Age_category_UNKNOWN/OTHER': 0.5626606695686083}",0.903190610503778,0.04346166214821334
